timestamp,scenario,simulated_hour,load_intensity,req_per_sec,response_time_avg_s,cpu_usage_percent,memory_usage_percent,replica_count,power_per_container_watts,total_power_watts
1752417596.8434606,business_hours,08:00,0.122,206.73,0.0233,0.2,16.3,1,1.69,1.69
1752417602.3527558,business_hours,09:00,0.842,177.85,0.0812,0.3,16.3,1,1.65,1.65
1752417607.6454644,business_hours,12:00,0.357,189.15,0.0347,0.2,16.3,1,1.67,1.67
1752417613.0753722,business_hours,15:00,0.76,192.38,0.0707,1.8,16.3,1,1.68,1.68
1752417618.3512192,business_hours,18:00,0.431,206.88,0.0377,2.2,16.6,1,1.7,1.7
1752417623.6984534,business_hours,20:00,0.38,189.11,0.034,2.2,16.6,1,1.68,1.68
1752417629.0446944,business_hours,22:00,0.473,167.02,0.0454,2.3,16.6,1,1.65,1.65
1752417664.5358624,business_hours,08:00,0.1,183.58,0.0265,7.9,30.2,2,1.75,3.51
1752417670.1314828,business_hours,09:00,0.99,175.72,0.0965,8.3,30.2,2,1.75,3.5
1752417675.4312818,business_hours,12:00,0.396,246.13,0.0264,6.2,30.2,2,1.81,3.62
1752417680.809921,business_hours,15:00,0.691,199.05,0.0598,2.5,30.2,2,1.69,3.39
1752417686.1438396,business_hours,18:00,0.402,166.77,0.0443,2.4,30.2,2,1.65,3.3
1752417691.4690704,business_hours,20:00,0.446,172.08,0.0397,2.3,30.2,2,1.65,3.31
1752417696.7869613,business_hours,22:00,0.496,170.83,0.0452,2.1,30.2,2,1.65,3.3
