timestamp,iteration,replicas,intensity_level,concurrent_users,req_per_sec,response_time_avg,cpu_percent,memory_percent,power_per_container,total_power
1752430878.5536726,1,1,1,128,172.0,0.6919,0.0,7.9,1.66,1.66
1752430887.1780028,1,1,2,156,172.9,0.8267,0.0,7.9,1.66,1.66
1752430896.5055435,1,1,3,184,176.6,0.9631,4.2,7.9,1.7,1.7
1752430906.5277905,1,1,4,212,179.3,1.0884,0.0,7.9,1.67,1.67
1752430917.4108045,1,1,5,240,177.1,1.2604,0.0,7.9,1.67,1.67
1752430928.785777,1,1,6,268,184.4,1.3493,0.0,8.0,1.68,1.68
1752430940.8294873,1,1,7,296,186.6,1.4702,3.8,8.0,1.71,1.71
1752430953.6307456,1,1,8,324,186.5,1.6019,4.2,8.0,1.72,1.72
1752430967.486202,1,1,9,352,180.6,1.8172,6.5,8.1,1.75,1.75
1752430982.1550424,1,1,10,380,180.1,1.9546,5.1,8.2,1.72,1.72
1752430997.4393704,1,1,11,408,182.6,2.0788,6.7,8.2,1.75,1.75
1752431014.1349063,1,1,12,436,173.2,2.3439,6.1,8.3,1.73,1.73
